date,US-New York-New York City,Japan-,US-New York-Nassau
2020-03-07,1,7.80333675513187,1.5
2020-03-08,1.61566618856294,7.32667006331567,2.33903595255632
2020-03-09,2.20825593081144,8.0323785738773,1
2020-03-10,1.21857868850777,7.12781111633447,1.47551334208302
2020-03-11,1.57352017375521,7.28997399922096,2.15865330306852
2020-03-12,1.23519435281469,8.28997399922096,1.80404161561177
2020-03-13,1.34915787533032,8.31842729134885,2.24119229413588
2020-03-14,1.29611302557243,8.53923111687269,2.0977309006997
2020-03-15,1.88659184671661,9.0077274091265,2.18329750731326
2020-03-16,2.26841591737744,10.0077274091265,2.84832792771835
2020-03-17,2.11248348578212,10.5249826157054,3.42821799573156
2020-03-18,1,11.3913107612744,3.31843274600096
2020-03-19,1.11180039373535,11.9745681306238,1
2020-03-20,1.18501550728972,12.4893529602895,1.01790298178778
2020-03-21,1.60385949880585,12.8320944642173,1.29489951800219
2020-03-22,1.92521492129451,12.4200289037483,1.53094105586053
2020-03-23,2.02759809584148,13.231315122998,2.02149861531425
2020-03-24,2.51521047785221,13.7233057109634,2.65116337691035
2020-03-25,2.67210872990924,12.757697117235,3.33743463879301
2020-03-26,3.20403578365875,13.1161581916681,3.88221871516635
2020-03-27,3.83537603934622,13.5295019426043,4.18964149860994
2020-03-28,3.89284507326306,11.8041307067892,4.22127663127878
2020-03-29,4.57679605707154,9.76553422871684,4.14186672229997
2020-03-30,5.16822383988752,10.7655342287168,4.36430289536865
2020-03-31,5.47943194070945,10.6884036827546,4.4964534289514
2020-04-01,5.72480706464115,10.1227993660698,4.8524050707179
2020-04-02,5.89709881119199,8.51053260538074,5.25983838723717
2020-04-03,6.38446982349048,8.9806929251641,5.45799368308025
2020-04-04,6.69454890558166,7.53116677990495,5.73376352228364
2020-04-05,6.99803187279209,8.53116677990495,6.1527161583868
2020-04-06,7.84883559895814,8.21709055128071,6.59519679400041
2020-04-07,7.92634917892961,7,7.18746190001557
2020-04-08,8.42760997950518,7.21083491988432,7.26690850680322
2020-04-09,8.90892865758138,7.49248309731676,7.48815352494145
2020-04-10,9.28050936681863,6.6975295476767,7.8755721526447
2020-04-11,9.59721392614429,7.24444724642251,8.49348851597857
2020-04-12,10.0452123051983,6.52477902106028,9.16341128623344
2020-04-13,10.6958372533451,6.87332593234148,9.87720974540293
2020-04-14,11.3490627428011,7.32401751794509,10.5324191492219
2020-04-15,11.6647873281285,7.57928310044154,10.9886479382357
2020-04-16,12.2719015284986,7.85787082313798,11.4772233030979
