state,county,latestCases,doubleSpeed
Texas,Harris,3261,4.4
Connecticut,New Haven,2383,4.9
Pennsylvania,Philadelphia,5521,5.7
New Jersey,Middlesex,5060,6.1
New Jersey,Union,5575,6.3
Massachusetts,Essex,2670,6.4
New Jersey,Hudson,6411,6.4
New Jersey,Passaic,5017,6.5
New Jersey,Essex,6580,6.6
Massachusetts,Norfolk,2216,6.6
Massachusetts,Suffolk,4534,6.7
New Jersey,Morris,2771,6.7
Massachusetts,Middlesex,4447,6.9
New Jersey,Monmouth,3496,7.0
New Jersey,Ocean,3269,7.2
Connecticut,Fairfield,5180,7.2
Illinois,Cook,12472,7.3
Michigan,Macomb,2973,7.3
New York,Orange,4532,7.4
Florida,Miami-Dade,6299,7.4
Louisiana,Jefferson,4678,7.5
New Jersey,Bergen,8928,7.5
New York,Suffolk,18692,7.6
California,Los Angeles,8430,7.7
Michigan,Wayne,10539,7.8
New York,Nassau,21512,7.9
Michigan,Oakland,4511,7.9
Indiana,Marion,2600,8.0
Nevada,Clark,2144,8.3
New York,Rockland,7122,8.4
Louisiana,Orleans,5416,8.5
Florida,Broward,2679,9.1
New York,New York City,92384,9.3
New York,Westchester,18077,11.4
Washington,King,4119,13.1
